"recipe","source_type","converted_type","source_result","converted_result","status","reasons","aliases"
"levitator","thaumcraft:arcane_workbench_shaped","thaumcraft:arcane_shaped","thaumcraft:levitator","thaumcraft:levitator","imported","","thaumcraft:plate_thaumium->thaumcraft:thaumium_plate;thaumcraft:plate_iron->thaumcraft:iron_plate"
"matrix_cost","thaumcraft:arcane_workbench_shaped","thaumcraft:arcane_shaped","thaumcraft:matrix_cost","thaumcraft:matrix_cost","imported","","thaumcraft:arcane_stone->thaumcraft:stone_arcane"
"matrix_speed","thaumcraft:arcane_workbench_shaped","thaumcraft:arcane_shaped","thaumcraft:matrix_speed","thaumcraft:matrix_speed","imported","","thaumcraft:arcane_stone->thaumcraft:stone_arcane;#thaumcraft:nitor->#thaumcraft:nitor"
"mechanism_complex","thaumcraft:arcane_workbench_shaped","thaumcraft:arcane_shaped","thaumcraft:mechanism_complex","thaumcraft:mechanism_complex","already_present","already_has_recipe_for_result:mechanism_complex.json","thaumcraft:plate_thaumium->thaumcraft:thaumium_plate"
"mechanism_simple","thaumcraft:arcane_workbench_shaped","thaumcraft:arcane_shaped","thaumcraft:mechanism_simple","thaumcraft:mechanism_simple","already_present","already_has_recipe_for_result:mechanism_simple.json","thaumcraft:plate_brass->thaumcraft:brass_plate;thaumcraft:plate_iron->thaumcraft:iron_plate;#forge:rods/wooden->#c:rods/wooden"
"metal_alchemical","thaumcraft:arcane_workbench_shaped","thaumcraft:arcane_shaped","thaumcraft:alchemical_brass_block","thaumcraft:metal_alchemical","imported","","thaumcraft:alchemical_brass_block->thaumcraft:metal_alchemical;thaumcraft:plate_iron->thaumcraft:iron_plate;thaumcraft:greatwood_planks->thaumcraft:plank_greatwood"
"metal_alchemical_advanced","thaumcraft:arcane_workbench_shaped","thaumcraft:arcane_shaped","thaumcraft:alchemical_brass_advanced_block","thaumcraft:metal_alchemical_advanced","imported","","thaumcraft:alchemical_brass_advanced_block->thaumcraft:metal_alchemical_advanced;thaumcraft:alchemical_brass_block->thaumcraft:metal_alchemical;thaumcraft:plate_void->thaumcraft:void_plate"
"mind_clockwork","thaumcraft:arcane_workbench_shaped","thaumcraft:arcane_shaped","thaumcraft:brain_clockwork","thaumcraft:brain_clockwork","imported","","#forge:glass_panes->minecraft:glass_pane;#thaumcraft:plates/brass->#c:plates/brass"
"mirrored_glass","thaumcraft:arcane_workbench_shapeless","thaumcraft:arcane_shapeless","thaumcraft:mirrored_glass","thaumcraft:mirrored_glass","already_present","already_has_recipe_for_result:mirrorglass.json","#forge:glass_panes->minecraft:glass_pane"
"morphic_resonator","thaumcraft:arcane_workbench_shaped","thaumcraft:arcane_shaped","thaumcraft:morphic_resonator","thaumcraft:morphic_resonator","already_present","already_has_recipe_for_result:morphicresonator.json","#forge:glass_panes->minecraft:glass_pane;thaumcraft:plate_brass->thaumcraft:brass_plate"
"pattern_crafter","thaumcraft:arcane_workbench_shaped","thaumcraft:arcane_shaped","thaumcraft:pattern_crafter","thaumcraft:pattern_crafter","imported","","#forge:workbenches->minecraft:crafting_table;thaumcraft:greatwood_planks->thaumcraft:plank_greatwood"
"paving_barrier","thaumcraft:arcane_workbench_shaped","thaumcraft:arcane_shaped","thaumcraft:paving_stone_barrier","thaumcraft:paving_stone_barrier","imported","","thaumcraft:arcane_stone_brick->thaumcraft:stone_arcane_brick"
"paving_travel","thaumcraft:arcane_workbench_shaped","thaumcraft:arcane_shaped","thaumcraft:paving_stone_travel","thaumcraft:paving_stone_travel","imported","","thaumcraft:arcane_stone_brick->thaumcraft:stone_arcane_brick"
"pedestal_ancient","thaumcraft:arcane_workbench_shaped","thaumcraft:arcane_shaped","thaumcraft:pedestal_ancient","thaumcraft:pedestal_ancient","imported","","thaumcraft:ancient_stone_slab->thaumcraft:slab_ancient;thaumcraft:ancient_stone->thaumcraft:stone_ancient"
"pedestal_arcane","thaumcraft:arcane_workbench_shaped","thaumcraft:arcane_shaped","thaumcraft:pedestal_arcane","thaumcraft:pedestal_arcane","imported","","thaumcraft:arcane_stone_slab->thaumcraft:slab_arcane_stone;thaumcraft:arcane_stone->thaumcraft:stone_arcane"
"pedestal_eldritch","thaumcraft:arcane_workbench_shaped","thaumcraft:arcane_shaped","thaumcraft:pedestal_eldritch","thaumcraft:pedestal_eldritch","imported","","thaumcraft:eldritch_stone_tile->thaumcraft:stone_eldritch_tile;thaumcraft:eldritch_stone_tile->thaumcraft:stone_eldritch_tile"
"potion_sprayer","thaumcraft:arcane_workbench_shaped","thaumcraft:arcane_shaped","thaumcraft:potion_sprayer","thaumcraft:potion_sprayer","imported","","#thaumcraft:plates/brass->#c:plates/brass;#thaumcraft:plates/iron->#c:plates/iron;thaumcraft:alchemical_brass_block->thaumcraft:metal_alchemical"
"primal_charm","thaumcraft:arcane_workbench_shaped","thaumcraft:arcane_shaped","thaumcraft:primal_charm","thaumcraft:primal_charm","deferred","unresolved_legacy_item:thaumcraft:balanced_shard",""
"recharge_pedestal","thaumcraft:arcane_workbench_shaped","thaumcraft:arcane_shaped","thaumcraft:recharge_pedestal","thaumcraft:recharge_pedestal","imported","","#forge:gems/diamond->#c:gems/diamond;#forge:ingots/gold->#c:ingots/gold;#forge:stone->#c:stones"
"redstone_relay","thaumcraft:arcane_workbench_shaped","thaumcraft:arcane_shaped","thaumcraft:redstone_relay","thaumcraft:redstone_relay","imported","",""
"research_table","thaumcraft:arcane_workbench_shaped","thaumcraft:arcane_shaped","thaumcraft:research_table","thaumcraft:research_table","already_present","already_has_recipe_for_result:research_bridge/research_table.json",""
"resonator","thaumcraft:arcane_workbench_shaped","thaumcraft:arcane_shaped","thaumcraft:resonator","thaumcraft:resonator","imported","","thaumcraft:plate_iron->thaumcraft:iron_plate;#forge:rods/wooden->#c:rods/wooden"
"robe_boots","thaumcraft:arcane_workbench_shaped","thaumcraft:arcane_shaped","thaumcraft:cloth_boots","thaumcraft:cloth_boots","imported","","thaumcraft:enchanted_fabric->thaumcraft:fabric"
"robe_chest","thaumcraft:arcane_workbench_shaped","thaumcraft:arcane_shaped","thaumcraft:cloth_chest","thaumcraft:cloth_chest","imported","","thaumcraft:enchanted_fabric->thaumcraft:fabric"
"robe_legs","thaumcraft:arcane_workbench_shaped","thaumcraft:arcane_shaped","thaumcraft:cloth_legs","thaumcraft:cloth_legs","imported","","thaumcraft:enchanted_fabric->thaumcraft:fabric"
"sanity_checker","thaumcraft:arcane_workbench_shaped","thaumcraft:arcane_shaped","thaumcraft:sanity_checker","thaumcraft:sanity_checker","imported","","thaumcraft:zombie_brain->thaumcraft:brain;thaumcraft:nuggets/brass->#c:nuggets/brass"
"scribing_tools","thaumcraft:arcane_workbench_shaped","thaumcraft:arcane_shaped","thaumcraft:scribing_tools","thaumcraft:scribing_tools","already_present","already_has_recipe_for_result:scribingtoolscraft2.json,scribingtoolsrefill.json,research_bridge/scribing_tools.json;unresolved_legacy_item:thaumcraft:shard_order","#forge:dyes/black->minecraft:black_dye"
"seal_blank","thaumcraft:arcane_workbench_shapeless","thaumcraft:arcane_shapeless","thaumcraft:blank_seal","thaumcraft:blank_seal","imported","","#forge:dyes/red->minecraft:red_dye;#thaumcraft:nitor->#thaumcraft:nitor"
"smelter_aux","thaumcraft:arcane_workbench_shaped","thaumcraft:arcane_shaped","thaumcraft:smelter_aux","thaumcraft:smelter_aux","imported","","thaumcraft:greatwood_planks->thaumcraft:plank_greatwood;thaumcraft:plate_brass->thaumcraft:brass_plate;thaumcraft:alchemical_brass_block->thaumcraft:metal_alchemical;thaumcraft:plate_iron->thaumcraft:iron_plate"
"smelter_basic","thaumcraft:arcane_workbench_shaped","thaumcraft:arcane_shaped","thaumcraft:smelter","thaumcraft:smelter_basic","already_present","already_has_recipe_for_result:essentiasmelter.json,research_bridge/smelter_basic.json","thaumcraft:smelter->thaumcraft:smelter_basic;thaumcraft:plate_brass->thaumcraft:brass_plate;#forge:cobblestone->#c:cobblestones"
"smelter_thaumium","thaumcraft:arcane_workbench_shaped","thaumcraft:arcane_shaped","thaumcraft:smelter_thaumium","thaumcraft:smelter_thaumium","imported","","thaumcraft:plate_brass->thaumcraft:brass_plate;thaumcraft:smelter->thaumcraft:smelter_basic;thaumcraft:plate_thaumium->thaumcraft:thaumium_plate;thaumcraft:alchemical_brass_block->thaumcraft:metal_alchemical"
"smelter_vent","thaumcraft:arcane_workbench_shaped","thaumcraft:arcane_shaped","thaumcraft:smelter_vent","thaumcraft:smelter_vent","imported","","thaumcraft:plate_iron->thaumcraft:iron_plate;thaumcraft:plate_brass->thaumcraft:brass_plate;thaumcraft:alchemical_brass_block->thaumcraft:metal_alchemical"
"smelter_void","thaumcraft:arcane_workbench_shaped","thaumcraft:arcane_shaped","thaumcraft:smelter_void","thaumcraft:smelter_void","imported","","thaumcraft:plate_brass->thaumcraft:brass_plate;thaumcraft:smelter->thaumcraft:smelter_basic;thaumcraft:plate_void->thaumcraft:void_plate;thaumcraft:alchemical_brass_advanced_block->thaumcraft:metal_alchemical_advanced"
"spa","thaumcraft:arcane_workbench_shaped","thaumcraft:arcane_shaped","thaumcraft:spa","thaumcraft:spa","imported","","thaumcraft:arcane_stone->thaumcraft:stone_arcane"
"stabilizer","thaumcraft:arcane_workbench_shaped","thaumcraft:arcane_shaped","thaumcraft:stabilizer","thaumcraft:stabilizer","imported","","thaumcraft:arcane_stone_slab->thaumcraft:slab_arcane_stone;thaumcraft:arcane_stone->thaumcraft:stone_arcane"
"thaumium_axe","thaumcraft:arcane_workbench_shaped","thaumcraft:arcane_shaped","thaumcraft:thaumium_axe","thaumcraft:thaumium_axe","already_present","already_has_recipe_for_result:thaumium_axe.json","#forge:rods/wooden->#c:rods/wooden"
"thaumium_hoe","thaumcraft:arcane_workbench_shaped","thaumcraft:arcane_shaped","thaumcraft:thaumium_hoe","thaumcraft:thaumium_hoe","already_present","already_has_recipe_for_result:thaumium_hoe.json","#forge:rods/wooden->#c:rods/wooden"
"thaumium_pick","thaumcraft:arcane_workbench_shaped","thaumcraft:arcane_shaped","thaumcraft:thaumium_pick","thaumcraft:thaumium_pick","already_present","already_has_recipe_for_result:thaumium_pick.json","#forge:rods/wooden->#c:rods/wooden"
"thaumium_shovel","thaumcraft:arcane_workbench_shaped","thaumcraft:arcane_shaped","thaumcraft:thaumium_shovel","thaumcraft:thaumium_shovel","already_present","already_has_recipe_for_result:thaumium_shovel.json","#forge:rods/wooden->#c:rods/wooden"
"thaumium_sword","thaumcraft:arcane_workbench_shaped","thaumcraft:arcane_shaped","thaumcraft:thaumium_sword","thaumcraft:thaumium_sword","already_present","already_has_recipe_for_result:thaumium_sword.json","#forge:rods/wooden->#c:rods/wooden"
"thaumometer","thaumcraft:arcane_workbench_shaped","thaumcraft:arcane_shaped","thaumcraft:thaumometer","thaumcraft:thaumometer","already_present","already_has_recipe_for_result:thaumometer.json",""
"tube","thaumcraft:arcane_workbench_shaped","thaumcraft:arcane_shaped","thaumcraft:tube_normal","thaumcraft:tube_normal","imported","","thaumcraft:plate_iron->thaumcraft:iron_plate;#forge:glass->thaumcraft:legacy_ore_dictionary/block_glass;thaumcraft:brass_nugget->#c:nuggets/brass;thaumcraft:quicksilver->thaumcraft:quicksilver_nugget"
"tube_buffer","thaumcraft:arcane_workbench_shaped","thaumcraft:arcane_shaped","thaumcraft:tube_buffer","thaumcraft:tube_buffer","imported","","thaumcraft:plate_iron->thaumcraft:iron_plate;thaumcraft:tube_restricted->thaumcraft:tube_restrict"
"tube_filter","thaumcraft:arcane_workbench_shapeless","thaumcraft:arcane_shapeless","thaumcraft:tube_filter","thaumcraft:tube_filter","imported","",""
"tube_oneway","thaumcraft:arcane_workbench_shapeless","thaumcraft:arcane_shapeless","thaumcraft:tube_oneway","thaumcraft:tube_oneway","imported","",""
"tube_restrict","thaumcraft:arcane_workbench_shapeless","thaumcraft:arcane_shapeless","thaumcraft:tube_restricted","thaumcraft:tube_restrict","imported","","thaumcraft:tube_restricted->thaumcraft:tube_restrict"
"tube_valve","thaumcraft:arcane_workbench_shapeless","thaumcraft:arcane_shapeless","thaumcraft:tube_valve","thaumcraft:tube_valve","imported","",""
"turret_crossbow","thaumcraft:arcane_workbench_shaped","thaumcraft:arcane_shaped","thaumcraft:turret_placer_basic","thaumcraft:turret_placer_basic","imported","","#thaumcraft:plates/iron->#c:plates/iron;thaumcraft:greatwood_planks->thaumcraft:plank_greatwood;#forge:rods/wooden->#c:rods/wooden"
"turret_crossbow_advanced","thaumcraft:arcane_workbench_shaped","thaumcraft:arcane_shaped","thaumcraft:turret_placer_advanced","thaumcraft:turret_placer_advanced","imported","","#thaumcraft:plates/iron->#c:plates/iron;thaumcraft:brain_curious->thaumcraft:brain"
"vis_battery","thaumcraft:arcane_workbench_shaped","thaumcraft:arcane_shaped","thaumcraft:vis_battery","thaumcraft:vis_battery","imported","","thaumcraft:arcane_stone_slab->thaumcraft:slab_arcane_stone"
"vis_generator","thaumcraft:arcane_workbench_shaped","thaumcraft:arcane_shaped","thaumcraft:vis_generator","thaumcraft:vis_generator","imported","","#forge:dusts/redstone->#c:dusts/redstone"
"vis_resonator","thaumcraft:arcane_workbench_shapeless","thaumcraft:arcane_shapeless","thaumcraft:vis_resonator","thaumcraft:vis_resonator","already_present","already_has_recipe_for_result:vis_resonator.json","thaumcraft:plate_iron->thaumcraft:iron_plate;#forge:gems/quartz->#c:gems/quartz"
"warded_jar","thaumcraft:arcane_workbench_shaped","thaumcraft:arcane_shaped","thaumcraft:jar_normal","thaumcraft:jar_normal","imported","","#forge:glass_panes->minecraft:glass_pane"
"workbench_charger","thaumcraft:arcane_workbench_shaped","thaumcraft:arcane_shaped","thaumcraft:arcane_workbench_charger","thaumcraft:arcane_workbench_charger","already_present","already_has_recipe_for_result:workbenchcharger.json","thaumcraft:greatwood_planks->thaumcraft:plank_greatwood;#forge:ingots/iron->#c:ingots/iron"
