file,line,pattern,method,code
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",67,"setAlphaF","public void drawFireMote(float x, float y, float z, float vx, float vy, float vz, float r, float g, float b, float alpha, float scale) {","glow.setAlphaF(alpha);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",125,"setAlphaF","public void drawGenericParticles(double x, double y, double z, double x2, double y2, double z2, float r, float g, float b, float alpha, boolean loop, int start, int num, int inc, int age, int delay, float scale, float rot, int layer) {","fb.setAlphaF(alpha);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",127,"setParticles","public void drawGenericParticles(double x, double y, double z, double x2, double y2, double z2, float r, float g, float b, float alpha, boolean loop, int start, int num, int inc, int age, int delay, float scale, float rot, int layer) {","fb.setParticles(start, num, inc);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",128,"setScale","public void drawGenericParticles(double x, double y, double z, double x2, double y2, double z2, float r, float g, float b, float alpha, boolean loop, int start, int num, int inc, int age, int delay, float scale, float rot, int layer) {","fb.setScale(scale);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",129,"setLayer","public void drawGenericParticles(double x, double y, double z, double x2, double y2, double z2, float r, float g, float b, float alpha, boolean loop, int start, int num, int inc, int age, int delay, float scale, float rot, int layer) {","fb.setLayer(layer);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",130,"setRotationSpeed","public void drawGenericParticles(double x, double y, double z, double x2, double y2, double z2, float r, float g, float b, float alpha, boolean loop, int start, int num, int inc, int age, int delay, float scale, float rot, int layer) {","fb.setRotationSpeed(rot);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",131,"ParticleEngine.addEffect","public void drawGenericParticles(double x, double y, double z, double x2, double y2, double z2, float r, float g, float b, float alpha, boolean loop, int start, int num, int inc, int age, int delay, float scale, float rot, int layer) {","ParticleEngine.addEffectWithDelay(getWorld(), fb, delay);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",131,"ParticleEngine.addEffectWithDelay","public void drawGenericParticles(double x, double y, double z, double x2, double y2, double z2, float r, float g, float b, float alpha, boolean loop, int start, int num, int inc, int age, int delay, float scale, float rot, int layer) {","ParticleEngine.addEffectWithDelay(getWorld(), fb, delay);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",135,"new FXGeneric","public void drawGenericParticles16(double x, double y, double z, double x2, double y2, double z2, float r, float g, float b, float alpha, boolean loop, int start, int num, int inc, int age, int delay, float scale, float rot, int layer) {","FXGeneric fb = new FXGeneric(getWorld(), x, y, z, x2, y2, z2);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",136,"setGridSize","public void drawGenericParticles16(double x, double y, double z, double x2, double y2, double z2, float r, float g, float b, float alpha, boolean loop, int start, int num, int inc, int age, int delay, float scale, float rot, int layer) {","fb.setGridSize(16);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",139,"setAlphaF","public void drawGenericParticles16(double x, double y, double z, double x2, double y2, double z2, float r, float g, float b, float alpha, boolean loop, int start, int num, int inc, int age, int delay, float scale, float rot, int layer) {","fb.setAlphaF(alpha);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",141,"setParticles","public void drawGenericParticles16(double x, double y, double z, double x2, double y2, double z2, float r, float g, float b, float alpha, boolean loop, int start, int num, int inc, int age, int delay, float scale, float rot, int layer) {","fb.setParticles(start, num, inc);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",142,"setScale","public void drawGenericParticles16(double x, double y, double z, double x2, double y2, double z2, float r, float g, float b, float alpha, boolean loop, int start, int num, int inc, int age, int delay, float scale, float rot, int layer) {","fb.setScale(scale);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",143,"setLayer","public void drawGenericParticles16(double x, double y, double z, double x2, double y2, double z2, float r, float g, float b, float alpha, boolean loop, int start, int num, int inc, int age, int delay, float scale, float rot, int layer) {","fb.setLayer(layer);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",144,"setRotationSpeed","public void drawGenericParticles16(double x, double y, double z, double x2, double y2, double z2, float r, float g, float b, float alpha, boolean loop, int start, int num, int inc, int age, int delay, float scale, float rot, int layer) {","fb.setRotationSpeed(rot);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",145,"ParticleEngine.addEffect","public void drawGenericParticles16(double x, double y, double z, double x2, double y2, double z2, float r, float g, float b, float alpha, boolean loop, int start, int num, int inc, int age, int delay, float scale, float rot, int layer) {","ParticleEngine.addEffectWithDelay(getWorld(), fb, delay);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",145,"ParticleEngine.addEffectWithDelay","public void drawGenericParticles16(double x, double y, double z, double x2, double y2, double z2, float r, float g, float b, float alpha, boolean loop, int start, int num, int inc, int age, int delay, float scale, float rot, int layer) {","ParticleEngine.addEffectWithDelay(getWorld(), fb, delay);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",149,"new FXGeneric","public void drawLevitatorParticles(double x, double y, double z, double x2, double y2, double z2) {","FXGeneric fb = new FXGeneric(getWorld(), x, y, z, x2, y2, z2);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",152,"setAlphaF","public void drawLevitatorParticles(double x, double y, double z, double x2, double y2, double z2) {","fb.setAlphaF(0.3f, 0.0f);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",153,"setGridSize","public void drawLevitatorParticles(double x, double y, double z, double x2, double y2, double z2) {","fb.setGridSize(16);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",154,"setParticles","public void drawLevitatorParticles(double x, double y, double z, double x2, double y2, double z2) {","fb.setParticles(56, 1, 1);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",155,"setScale","public void drawLevitatorParticles(double x, double y, double z, double x2, double y2, double z2) {","fb.setScale(2.0f, 5.0f);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",156,"setLayer","public void drawLevitatorParticles(double x, double y, double z, double x2, double y2, double z2) {","fb.setLayer(0);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",157,"setSlowDown","public void drawLevitatorParticles(double x, double y, double z, double x2, double y2, double z2) {","fb.setSlowDown(1.0);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",158,"setRotationSpeed","public void drawLevitatorParticles(double x, double y, double z, double x2, double y2, double z2) {","fb.setRotationSpeed(getWorld().rand.nextFloat(), getWorld().rand.nextBoolean() ? -1.0f : 1.0f);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",159,"ParticleEngine.addEffect","public void drawLevitatorParticles(double x, double y, double z, double x2, double y2, double z2) {","ParticleEngine.addEffect(getWorld(), fb);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",163,"new FXGeneric","public void drawStabilizerParticles(double x, double y, double z, double x2, double y2, double z2, int life) {","FXGeneric fb = new FXGeneric(getWorld(), x, y, z, x2, y2, z2);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",166,"setAlphaF","public void drawStabilizerParticles(double x, double y, double z, double x2, double y2, double z2, int life) {","fb.setAlphaF(0.3f, 0.0f);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",167,"setGridSize","public void drawStabilizerParticles(double x, double y, double z, double x2, double y2, double z2, int life) {","fb.setGridSize(16);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",168,"setParticles","public void drawStabilizerParticles(double x, double y, double z, double x2, double y2, double z2, int life) {","fb.setParticles(72 + getWorld().rand.nextInt(4), 1, 1);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",169,"setScale","public void drawStabilizerParticles(double x, double y, double z, double x2, double y2, double z2, int life) {","fb.setScale(1.0f, 10.0f);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",170,"setLayer","public void drawStabilizerParticles(double x, double y, double z, double x2, double y2, double z2, int life) {","fb.setLayer(0);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",171,"setSlowDown","public void drawStabilizerParticles(double x, double y, double z, double x2, double y2, double z2, int life) {","fb.setSlowDown(1.01);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",172,"setRotationSpeed","public void drawStabilizerParticles(double x, double y, double z, double x2, double y2, double z2, int life) {","fb.setRotationSpeed(getWorld().rand.nextFloat(), getWorld().rand.nextBoolean() ? -1.0f : 1.0f);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",173,"ParticleEngine.addEffect","public void drawStabilizerParticles(double x, double y, double z, double x2, double y2, double z2, int life) {","ParticleEngine.addEffect(getWorld(), fb);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",178,"new FXGeneric","public void drawGolemFlyParticles(double x, double y, double z, double x2, double y2, double z2) {","FXGeneric fb = new FXGeneric(getWorld(), x, y, z, x2, y2, z2);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",180,"setAlphaF","public void drawGolemFlyParticles(double x, double y, double z, double x2, double y2, double z2) {","fb.setAlphaF(0.3f, 0.0f);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",181,"setGridSize","public void drawGolemFlyParticles(double x, double y, double z, double x2, double y2, double z2) {","fb.setGridSize(16);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",182,"setParticles","public void drawGolemFlyParticles(double x, double y, double z, double x2, double y2, double z2) {","fb.setParticles(56, 1, 1);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",183,"setScale","public void drawGolemFlyParticles(double x, double y, double z, double x2, double y2, double z2) {","fb.setScale(1.5f, 3.0f, 8.0f);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",184,"setLayer","public void drawGolemFlyParticles(double x, double y, double z, double x2, double y2, double z2) {","fb.setLayer(0);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",185,"setSlowDown","public void drawGolemFlyParticles(double x, double y, double z, double x2, double y2, double z2) {","fb.setSlowDown(1.0);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",186,"setWind","public void drawGolemFlyParticles(double x, double y, double z, double x2, double y2, double z2) {","fb.setWind(0.001);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",187,"setRotationSpeed","public void drawGolemFlyParticles(double x, double y, double z, double x2, double y2, double z2) {","fb.setRotationSpeed(getWorld().rand.nextFloat(), getWorld().rand.nextBoolean() ? -1.0f : 1.0f);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",188,"ParticleEngine.addEffect","public void drawGolemFlyParticles(double x, double y, double z, double x2, double y2, double z2) {","ParticleEngine.addEffect(getWorld(), fb);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",197,"new FXGeneric","public void drawPollutionParticles(BlockPos p) {","FXGeneric fb = new FXGeneric(getWorld(), x, y, z, (getWorld().rand.nextFloat() - getWorld().rand.nextFloat()) * 0.005, 0.02, (getWorld().rand.nextFloat() - getWorld().rand.nextFloat()) * 0.005);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",200,"setAlphaF","public void drawPollutionParticles(BlockPos p) {","fb.setAlphaF(0.5f, 0.0f);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",201,"setGridSize","public void drawPollutionParticles(BlockPos p) {","fb.setGridSize(16);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",202,"setParticles","public void drawPollutionParticles(BlockPos p) {","fb.setParticles(56, 1, 1);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",203,"setScale","public void drawPollutionParticles(BlockPos p) {","fb.setScale(2.0f, 5.0f);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",204,"setLayer","public void drawPollutionParticles(BlockPos p) {","fb.setLayer(1);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",205,"setSlowDown","public void drawPollutionParticles(BlockPos p) {","fb.setSlowDown(1.0);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",206,"setWind","public void drawPollutionParticles(BlockPos p) {","fb.setWind(0.001);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",207,"setRotationSpeed","public void drawPollutionParticles(BlockPos p) {","fb.setRotationSpeed(getWorld().rand.nextFloat(), getWorld().rand.nextBoolean() ? -1.0f : 1.0f);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",208,"ParticleEngine.addEffect","public void drawPollutionParticles(BlockPos p) {","ParticleEngine.addEffect(getWorld(), fb);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",255,"new FXGeneric","public void drawLineSparkle(Random rand, double x, double y, double z, double x2, double y2, double z2, float scale, float r, float g, float b, int delay, float decay, float grav, int baseAge) {","FXGeneric fb = new FXGeneric(getWorld(), x, y, z, x2, y2, z2);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",259,"setAlphaF","public void drawLineSparkle(Random rand, double x, double y, double z, double x2, double y2, double z2, float scale, float r, float g, float b, int delay, float decay, float grav, int baseAge) {","fb.setAlphaF(0.0f, 1.0f, 0.0f);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",260,"setParticles","public void drawLineSparkle(Random rand, double x, double y, double z, double x2, double y2, double z2, float scale, float r, float g, float b, int delay, float decay, float grav, int baseAge) {","fb.setParticles(sp ? 320 : 512, 16, 1);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",262,"setGravity","public void drawLineSparkle(Random rand, double x, double y, double z, double x2, double y2, double z2, float scale, float r, float g, float b, int delay, float decay, float grav, int baseAge) {","fb.setGravity(grav);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",263,"setScale","public void drawLineSparkle(Random rand, double x, double y, double z, double x2, double y2, double z2, float scale, float r, float g, float b, int delay, float decay, float grav, int baseAge) {","fb.setScale(scale, scale * 2.0f, scale);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",264,"setLayer","public void drawLineSparkle(Random rand, double x, double y, double z, double x2, double y2, double z2, float scale, float r, float g, float b, int delay, float decay, float grav, int baseAge) {","fb.setLayer(0);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",265,"setSlowDown","public void drawLineSparkle(Random rand, double x, double y, double z, double x2, double y2, double z2, float scale, float r, float g, float b, int delay, float decay, float grav, int baseAge) {","fb.setSlowDown(decay);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",266,"setRandomMovementScale","public void drawLineSparkle(Random rand, double x, double y, double z, double x2, double y2, double z2, float scale, float r, float g, float b, int delay, float decay, float grav, int baseAge) {","fb.setRandomMovementScale(5.0E-5f, 0.0f, 5.0E-5f);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",267,"ParticleEngine.addEffect","public void drawLineSparkle(Random rand, double x, double y, double z, double x2, double y2, double z2, float scale, float r, float g, float b, int delay, float decay, float grav, int baseAge) {","ParticleEngine.addEffectWithDelay(getWorld(), fb, delay);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",267,"ParticleEngine.addEffectWithDelay","public void drawLineSparkle(Random rand, double x, double y, double z, double x2, double y2, double z2, float scale, float r, float g, float b, int delay, float decay, float grav, int baseAge) {","ParticleEngine.addEffectWithDelay(getWorld(), fb, delay);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",272,"new FXGeneric","public void drawSimpleSparkle(Random rand, double x, double y, double z, double x2, double y2, double z2, float scale, float r, float g, float b, int delay, float decay, float grav, int baseAge) {","FXGeneric fb = new FXGeneric(getWorld(), x, y, z, x2, y2, z2);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",280,"setAlphaF","public void drawSimpleSparkle(Random rand, double x, double y, double z, double x2, double y2, double z2, float scale, float r, float g, float b, int delay, float decay, float grav, int baseAge) {","fb.setAlphaF(alphas);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",281,"setParticles","public void drawSimpleSparkle(Random rand, double x, double y, double z, double x2, double y2, double z2, float scale, float r, float g, float b, int delay, float decay, float grav, int baseAge) {","fb.setParticles(sp ? 320 : 512, 16, 1);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",283,"setGravity","public void drawSimpleSparkle(Random rand, double x, double y, double z, double x2, double y2, double z2, float scale, float r, float g, float b, int delay, float decay, float grav, int baseAge) {","fb.setGravity(grav);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",284,"setScale","public void drawSimpleSparkle(Random rand, double x, double y, double z, double x2, double y2, double z2, float scale, float r, float g, float b, int delay, float decay, float grav, int baseAge) {","fb.setScale(scale, scale * 2.0f);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",285,"setLayer","public void drawSimpleSparkle(Random rand, double x, double y, double z, double x2, double y2, double z2, float scale, float r, float g, float b, int delay, float decay, float grav, int baseAge) {","fb.setLayer(0);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",286,"setSlowDown","public void drawSimpleSparkle(Random rand, double x, double y, double z, double x2, double y2, double z2, float scale, float r, float g, float b, int delay, float decay, float grav, int baseAge) {","fb.setSlowDown(decay);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",287,"setRandomMovementScale","public void drawSimpleSparkle(Random rand, double x, double y, double z, double x2, double y2, double z2, float scale, float r, float g, float b, int delay, float decay, float grav, int baseAge) {","fb.setRandomMovementScale(5.0E-4f, 0.001f, 5.0E-4f);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",288,"setWind","public void drawSimpleSparkle(Random rand, double x, double y, double z, double x2, double y2, double z2, float scale, float r, float g, float b, int delay, float decay, float grav, int baseAge) {","fb.setWind(5.0E-4);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",289,"ParticleEngine.addEffect","public void drawSimpleSparkle(Random rand, double x, double y, double z, double x2, double y2, double z2, float scale, float r, float g, float b, int delay, float decay, float grav, int baseAge) {","ParticleEngine.addEffectWithDelay(getWorld(), fb, delay);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",289,"ParticleEngine.addEffectWithDelay","public void drawSimpleSparkle(Random rand, double x, double y, double z, double x2, double y2, double z2, float scale, float r, float g, float b, int delay, float decay, float grav, int baseAge) {","ParticleEngine.addEffectWithDelay(getWorld(), fb, delay);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",294,"new FXGeneric","public void drawSimpleSparkleGui(Random rand, double x, double y, double x2, double y2, float scale, float r, float g, float b, int delay, float decay, float grav) {","FXGenericGui fb = new FXGenericGui(getWorld(), x, y, 0.0, x2, y2, 0.0);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",297,"setAlphaF","public void drawSimpleSparkleGui(Random rand, double x, double y, double x2, double y2, float scale, float r, float g, float b, int delay, float decay, float grav) {","fb.setAlphaF(0.0f, 1.0f, 1.0f, 1.0f, 1.0f, 1.0f, 0.0f);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",298,"setParticles","public void drawSimpleSparkleGui(Random rand, double x, double y, double x2, double y2, float scale, float r, float g, float b, int delay, float decay, float grav) {","fb.setParticles(sp ? 320 : 512, 16, 1);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",300,"setGravity","public void drawSimpleSparkleGui(Random rand, double x, double y, double x2, double y2, float scale, float r, float g, float b, int delay, float decay, float grav) {","fb.setGravity(grav);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",301,"setScale","public void drawSimpleSparkleGui(Random rand, double x, double y, double x2, double y2, float scale, float r, float g, float b, int delay, float decay, float grav) {","fb.setScale(scale, scale * 2.0f);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",303,"setLayer","public void drawSimpleSparkleGui(Random rand, double x, double y, double x2, double y2, float scale, float r, float g, float b, int delay, float decay, float grav) {","fb.setLayer(4);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",304,"setSlowDown","public void drawSimpleSparkleGui(Random rand, double x, double y, double x2, double y2, float scale, float r, float g, float b, int delay, float decay, float grav) {","fb.setSlowDown(decay);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",305,"setRandomMovementScale","public void drawSimpleSparkleGui(Random rand, double x, double y, double x2, double y2, float scale, float r, float g, float b, int delay, float decay, float grav) {","fb.setRandomMovementScale(0.025f, 0.025f, 0.0f);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",306,"ParticleEngine.addEffect","public void drawSimpleSparkleGui(Random rand, double x, double y, double x2, double y2, float scale, float r, float g, float b, int delay, float decay, float grav) {","ParticleEngine.addEffectWithDelay(getWorld(), fb, delay);"
"src/main/java/thaumcraft/client/fx/FXDispatcher.java",306,"ParticleEngine.addEffectWithDelay","public void drawSimpleSparkleGui(Random rand, double x, double y, double x2, double y2, float scale, float r, float g, float b, int delay, float decay, float grav) {","ParticleEngine.addEffectWithDelay(getWorld(), fb, delay);"
